load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,83,1.5,-0.32081992511310764,-0.018057002287360697,0.0007665133541171572,0.3213285969594175
LC-STR-01,84,1.5,-0.32081514528794675,-0.013264669444039593,-0.012274161706871137,0.32132376810188257
LC-STR-01,85,1.5,-0.32081973963543153,-0.0007644639295827116,-0.01805760170043903,0.321328440577577
LC-STR-01,86,1.5,-0.3208152689668061,0.01227376285580954,-0.013266299591210357,0.3213239436483509
LC-STR-01,87,1.5,-0.3208199251131189,0.018057002287223338,-0.0007665133542212578,0.32132859695942123
LC-STR-01,88,1.5,-0.32081514528794625,0.013264669443902019,0.012274161706766479,0.32132376810187246
LC-STR-01,89,2.5,-0.3352420514230696,0.0008591934443277035,0.029928102172877696,0.3365763844291412
LC-STR-01,90,2.5,-0.33524070904392955,-0.020687989839037916,0.021640859645181025,0.3365748842828877
LC-STR-01,91,2.5,-0.33524215377713856,-0.02992759820548518,0.000860962323033767,0.33657644608558884
LC-STR-01,92,2.5,-0.3352406816723825,-0.02163947120750784,-0.020688299701319905,0.3365747867960937
LC-STR-01,93,2.5,-0.33524205142308144,-0.0008591934444743413,-0.029928102172991758,0.3365763844291635
LC-STR-01,94,2.5,-0.3352407090439463,0.020687989838891915,-0.021640859645294955,0.33657488428290266
LC-STR-01,95,2.5,-0.33524215377715083,0.029927598205340175,-0.0008609623231462877,0.3365764460855884
LC-STR-01,96,2.5,-0.3352406816723823,0.021639471207363797,0.020688299701204862,0.33657478679607716
LC-STR-01,97,4.0,-0.3567853634289044,0.0006276357801563301,-0.0002842789514030466,0.35678602873191395
LC-STR-01,98,4.0,-0.35678987710468785,0.000616158058451492,0.00021589809477041345,0.35679047446241974
LC-STR-01,99,4.0,-0.3567853715964633,0.00028465136703209186,0.0006290386647249749,0.3567860396670094
LC-STR-01,100,4.0,-0.35678985956417925,-0.0002148659317652711,0.0006159611037788822,0.3567904559587837
LC-STR-01,101,4.0,-0.3567853634289172,-0.0006276357803167442,0.0002842789512768779,0.35678602873192694
LC-STR-01,102,4.0,-0.35678987710470567,-0.0006161580586115298,-0.0002158980948963962,0.3567904744624379
LC-STR-01,103,4.0,-0.3567853715964764,-0.00028465136719188657,-0.0006290386648506093,0.35678603966702294
LC-STR-01,104,4.0,-0.3567898595641792,0.00021486593160581453,-0.0006159611039054171,0.3567904559587838
LC-STR-01,105,6.5,-0.39239556459249386,0.0005051950491038184,0.08588428567376649,0.4016847580623303
LC-STR-01,106,6.5,-0.3923974484464856,-0.06037091029284154,0.061087795090265296,0.4016865980660656
LC-STR-01,107,6.5,-0.3923955498022509,-0.08588411159469583,0.0005058245661468996,0.40168470718651045
LC-STR-01,108,6.5,-0.39239747848026935,-0.06108731156327398,-0.06037101741386642,0.4016865699712741
LC-STR-01,109,6.5,-0.3923955645925075,-0.0005051950492936797,-0.0858842856739257,0.40168475806237786
LC-STR-01,110,6.5,-0.3923974484465048,0.06037091029265264,-0.06108779509042408,0.40168659806608004
LC-STR-01,111,6.5,-0.3923955498022651,0.085884111594507,-0.0005058245663056263,0.40168470718648414
LC-STR-01,112,6.5,-0.3923974784802697,0.06108731156308565,0.060371017413706554,0.4016865699712218
LC-STR-01,113,9.0,-0.42800828265680857,0.000504621307647166,-0.0003665465420701234,0.42800873708589426
LC-STR-01,114,9.0,-0.4280087599255808,0.0006164956809788423,9.809990445685235e-05,0.4280092151619512
LC-STR-01,115,9.0,-0.42800826020160265,0.0003666125331480986,0.0005048626018746236,0.42800871497178533
LC-STR-01,116,9.0,-0.42800877709164903,-9.791849412723574e-05,0.0006164569851570477,0.4280092322307253
LC-STR-01,117,9.0,-0.4280082826568218,-0.0005046213078687677,0.00036654654187372686,0.42800873708590764
LC-STR-01,118,9.0,-0.4280087599256012,-0.0006164956812001797,-9.80999046531363e-05,0.42800921516197193
